ROUTE,COUNTY,POST_MILE,YEAR,AM_DIR,AM_PEAK_VOL_PEAK_DIR,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
269,FRE,0.082,16,N,274,9.23,55.8,5.15,6,TUE,OCT,S,298.00,8.12,68.98,5.6,16,WED,NOV
269,FRE,12.747,17,N,390,11.38,75.44,8.58,5,WED,JUN,S,339.00,10.96,68.07,7.46,16,TUE,SEP
269,FRE,24.764,17,S,217,11.86,70,8.3,5,THU,JUN,N,216.00,11.66,70.82,8.26,15,THU,JUN
270,MNO,0,17,E,66,27.11,89.19,24.18,9,WED,AUG,W,63.00,35.9,64.29,23.08,13,THU,AUG
271,MEN,6.28,17,S,38,13.95,53.52,7.47,11,MON,JUL,S,38.00,13.56,55.07,7.47,13,WED,APR
271,MEN,7.29,17,N,85,19.54,52.15,10.19,11,WED,AUG,S,85.00,19.31,52.8,10.19,13,MON,JUN
273,SHA,3.812,15,S,418,8.93,59.04,5.27,11,MON,MAY,S,476.00,8.76,68.59,6.01,14,MON,MAY
273,SHA,11.1,17,N,1053,8.07,64.48,5.2,7,WED,APR,S,1089.00,8.91,60.4,5.38,17,WED,SEP
273,SHA,14.184,17,N,1143,9.59,62.26,5.97,7,TUE,SEP,S,1087.00,9.65,58.82,5.67,15,THU,DEC
273,SHA,17.385,17,S,838,9.51,54.84,5.22,7,THU,MAY,N,980.00,11.07,55.12,6.1,14,THU,NOV
273,SHA,18.92,15,N,608,9.07,53.85,4.88,12,WED,FEB,N,689.00,9.41,58.84,5.53,17,TUE,NOV
273,SHA,20.033,15,S,396,8.41,67.46,5.67,7,FRI,NOV,N,455.00,10.12,64.45,6.52,17,TUE,NOV
280,SM,5.6,17,S,7495,10.58,59.41,6.28,8,WED,MAR,N,7247.00,10.61,57.25,6.08,16,THU,MAR
