DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
07,005,LA,,15.329,27,O,16,N,7932,5.570,57.010,3.180,4,WED,MAR,S,"7,937",5.840,54.460,3.180,15,SUN,MAR
07,005,LA,,17.800,28,O,15,N,7789,6.120,53.100,3.250,7,TUE,OCT,N,"7,807",5.980,54.460,3.260,14,FRI,OCT
07,005,LA,,33.981,754,O,16,S,7826,6.250,63.820,3.990,6,WED,MAR,N,"7,161",6.520,55.990,3.650,16,MON,FEB
07,005,LA,,41.000,34,B,17,S,6920,5.670,69.340,3.930,5,WED,FEB,N,"7,654",6.400,67.930,4.340,16,THU,APR
07,005,LA,R,56.602,906,B,17,S,5581,8.140,55.480,4.510,8,SAT,SEP,S,"5,900",7.660,62.290,4.770,16,MON,FEB
06,005,KER,,13.523,631,A,17,S,4620,9.560,54.830,5.240,10,SAT,MAY,S,"5,172",11.240,52.210,5.870,15,MON,SEP
06,005,KER,,19.612,640,A,17,S,2318,12.030,51.720,6.220,10,WED,NOV,S,"2,483",11.580,57.560,6.660,15,SAT,JUL
06,005,KER,,19.612,172,B,15,N,2030,10.130,59.150,5.990,10,SAT,SEP,S,"2,764",13.970,58.440,8.160,13,MON,SEP
06,005,KER,,38.793,681,A,15,N,2154,10.630,56.300,5.990,11,MON,SEP,N,"2,947",15.170,53.980,8.190,15,MON,SEP
06,005,KER,,47.546,201,A,17,N,2647,10.620,59.500,6.320,7,THU,NOV,N,"2,799",12.300,54.310,6.680,13,FRI,DEC
06,005,KER,,47.546,431,B,15,N,2155,11.120,56.500,6.280,11,MON,SEP,N,"2,957",15.870,54.330,8.620,16,MON,SEP
06,005,KER,,56.642,682,A,15,N,2221,10.230,56.060,5.730,11,MON,SEP,N,"3,024",14.600,53.470,7.810,16,MON,SEP
06,005,KIN,,12.362,571,B,17,N,1354,7.190,58.950,4.240,12,FRI,JUN,N,"2,125",10.180,65.370,6.650,17,SUN,JUN
06,005,KIN,,16.565,203,A,17,S,2146,9.090,60.790,5.520,9,FRI,JUN,N,"2,602",12.710,52.720,6.700,13,MON,SEP
06,005,FRE,,29.955,533,A,17,S,2523,10.410,59.210,6.160,8,FRI,DEC,S,"2,767",13.100,51.600,6.760,16,WED,NOV
06,005,FRE,,48.990,851,A,17,S,2633,11.560,54.730,6.330,11,FRI,DEC,N,"2,809",12.480,54.090,6.750,18,SUN,NOV
06,005,FRE,,65.782,675,A,16,S,2563,8.870,70.370,6.240,7,SAT,JUL,S,"2,749",12.960,51.660,6.700,14,MON,SEP
10,005,MER,,17.578,284,A,17,S,2032,8.230,69.880,5.750,7,SUN,NOV,N,"2,134",11.550,52.300,6.040,18,WED,NOV
10,005,STA,,15.855,196,A,16,S,2365,9.080,54.780,4.970,11,WED,DEC,S,"2,471",9.820,52.910,5.200,13,WED,DEC
10,005,SJ,,6.467,82,A,15,S,1237,8.730,57.670,5.030,11,FRI,DEC,S,"1,277",9.240,56.230,5.190,13,SUN,JUL
10,005,SJ,R,14.834,237,A,15,S,4249,6.480,54.590,3.540,12,SUN,DEC,N,"5,012",7.420,56.250,4.170,14,FRI,JUN
03,005,SAC,,2.131,5,B,17,S,2546,7.700,57.640,4.440,12,SUN,JUN,S,"2,709",8.330,56.640,4.720,14,SUN,SEP
03,005,SAC,,12.037,10,A,17,N,4380,6.620,67.720,4.480,6,WED,NOV,S,"4,894",8.560,58.510,5.010,16,THU,OCT
